242,   22.3303757,          -4.,   26.1758709
243,    21.149807,          -4.,   22.1146622
244,    21.149807,          -4.,   17.8853378
245,   22.3303757,          -4.,   13.8241282
246,   24.5976601,          -4.,    10.253891
247,   27.7714138,          -4.,   7.45845461
248,   31.5993271,          -4.,   5.66005325
249,   25.4558449,   25.4558449,           5.
250,   19.5156708,   25.1725254,   5.66005325
251,   16.8089275,   22.4657822,   7.45845461
252,   14.5647449,   20.2215996,    10.253891
253,   12.9615335,   18.6183872,   13.8241282
254,   12.1267452,   17.7835999,   17.8853378
255,   12.1267452,   17.7835999,   22.1146622
256,   12.9615335,   18.6183872,   26.1758709
257,   14.5647449,   20.2215996,    29.746109
258,   16.8089275,   22.4657822,   32.5415459
259,   19.5156708,   25.1725254,   34.3399467
260,   25.4558449,   25.4558449,          35.
261,   25.1725254,   19.5156708,   34.3399467
262,   22.4657822,   16.8089275,   32.5415459
263,   20.2215996,   14.5647449,    29.746109
264,   18.6183872,   12.9615335,   26.1758709
265,   17.7835999,   12.1267452,   22.1146622
266,   17.7835999,   12.1267452,   17.8853378
267,   18.6183872,   12.9615335,   13.8241282
268,   20.2215996,   14.5647449,    10.253891
269,   22.4657822,   16.8089275,   7.45845461
270,   25.1725254,   19.5156708,   5.66005325
271,   8.97698498,  -34.8627853,          35.
272,   13.7766037,  -33.2596626,          35.
273,   18.3040237,  -30.9993992,          35.
274,   30.9993992,  -18.3040237,          35.
275,   33.2596626,  -13.7766037,          35.
276,   34.8627853,  -8.97698498,          35.
277,   34.8627853,   8.97698498,          35.
278,   33.2596626,   13.7766037,          35.
279,   30.9993992,   18.3040237,          35.
280,   18.3040237,   30.9993992,          35.
281,   13.7766037,   33.2596626,          35.
282,   8.97698498,   34.8627853,          35.
283,          -4.,   31.5993271,   5.66005325
284,          -4.,   27.7714138,   7.45845461
285,          -4.,   24.5976601,    10.253891
286,          -4.,   22.3303757,   13.8241282
287,          -4.,    21.149807,   17.8853378
288,          -4.,    21.149807,   22.1146622
289,          -4.,   22.3303757,   26.1758709
290,          -4.,   24.5976601,    29.746109
291,          -4.,   27.7714138,   32.5415459
292,          -4.,   31.5993271,   34.3399467
293,           4.,   31.5993271,   34.3399467
294,           4.,   27.7714138,   32.5415459
295,           4.,   24.5976601,    29.746109
296,           4.,   22.3303757,   26.1758709
297,           4.,    21.149807,   22.1146622
298,           4.,    21.149807,   17.8853378
299,           4.,   22.3303757,   13.8241282
300,           4.,   24.5976601,    10.253891
301,           4.,   27.7714138,   7.45845461
302,           4.,   31.5993271,   5.66005325
303,  -25.4558449,   25.4558449,           5.
304,  -25.1725254,   19.5156708,   5.66005325
305,  -22.4657822,   16.8089275,   7.45845461
306,  -20.2215996,   14.5647449,    10.253891
307,  -18.6183872,   12.9615335,   13.8241282
308,  -17.7835999,   12.1267452,   17.8853378
309,  -17.7835999,   12.1267452,   22.1146622
310,  -18.6183872,   12.9615335,   26.1758709
311,  -20.2215996,   14.5647449,    29.746109
312,  -22.4657822,   16.8089275,   32.5415459
313,  -25.1725254,   19.5156708,   34.3399467
314,  -25.4558449,   25.4558449,          35.
315,  -19.5156708,   25.1725254,   34.3399467
316,  -16.8089275,   22.4657822,   32.5415459
317,  -14.5647449,   20.2215996,    29.746109
318,  -12.9615335,   18.6183872,   26.1758709
319,  -12.1267452,   17.7835999,   22.1146622
320,  -12.1267452,   17.7835999,   17.8853378
321,  -12.9615335,   18.6183872,   13.8241282
322,  -14.5647449,   20.2215996,    10.253891
323,  -16.8089275,   22.4657822,   7.45845461
324,  -19.5156708,   25.1725254,   5.66005325
325,  -25.4558449,  -25.4558449,           5.
326,  -19.5156708,  -25.1725254,   5.66005325
327,  -16.8089275,  -22.4657822,   7.45845461
328,  -14.5647449,  -20.2215996,    10.253891
329,  -12.9615335,  -18.6183872,   13.8241282
330,  -12.1267452,  -17.7835999,   17.8853378
331,  -12.1267452,  -17.7835999,   22.1146622
332,  -12.9615335,  -18.6183872,   26.1758709
333,  -14.5647449,  -20.2215996,    29.746109
334,  -16.8089275,  -22.4657822,   32.5415459
335,  -19.5156708,  -25.1725254,   34.3399467
336,  -25.4558449,  -25.4558449,          35.
337,  -25.1725254,  -19.5156708,   34.3399467
338,  -22.4657822,  -16.8089275,   32.5415459
339,  -20.2215996,  -14.5647449,    29.746109
340,  -18.6183872,  -12.9615335,   26.1758709
341,  -17.7835999,  -12.1267452,   22.1146622
342,  -17.7835999,  -12.1267452,   17.8853378
343,  -18.6183872,  -12.9615335,   13.8241282
344,  -20.2215996,  -14.5647449,    10.253891
345,  -22.4657822,  -16.8089275,   7.45845461
346,  -25.1725254,  -19.5156708,   5.66005325
347,           4.,  -31.5993271,   5.66005325
348,           4.,  -27.7714138,   7.45845461
349,           4.,  -24.5976601,    10.253891
350,           4.,  -22.3303757,   13.8241282
351,           4.,   -21.149807,   17.8853378
352,           4.,   -21.149807,   22.1146622
353,           4.,  -22.3303757,   26.1758709
354,           4.,  -24.5976601,    29.746109
355,           4.,  -27.7714138,   32.5415459
356,           4.,  -31.5993271,   34.3399467
357,          -4.,  -31.5993271,   34.3399467
358,          -4.,  -27.7714138,   32.5415459
359,          -4.,  -24.5976601,    29.746109
360,          -4.,  -22.3303757,   26.1758709
361,          -4.,   -21.149807,   22.1146622
362,          -4.,   -21.149807,   17.8853378
363,          -4.,  -22.3303757,   13.8241282
364,          -4.,  -24.5976601,    10.253891
365,          -4.,  -27.7714138,   7.45845461
366,          -4.,  -31.5993271,   5.66005325
367,  -8.97698498,  -34.8627853,          35.
368,  -13.7766037,  -33.2596626,          35.
369,  -18.3040237,  -30.9993992,          35.
370,  -19.4042873,   -25.061142,          35.
371,  -16.3387814,  -21.9956341,          35.
