63, 1190, 1149,  985, 1139
64, 1190, 1044,  519,  518
65, 1190, 1044,  518,  985
66, 1191, 1192,   56,  386
67, 1191,  314,   37,   56
68,  791,  708,  728, 1185
69, 1191, 1193,  850,  314
70, 1193, 1191,  188,  314
71,  314, 1193,  919,  188
72, 1194, 1012, 1010,  535
73, 1194,  534, 1012,  535
74, 1194, 1049, 1012,  534
75, 1194, 1123,  471,  540
76,  669,  993, 1113, 1195
77, 1195, 1074,  993, 1113
78,  993,  669,  648, 1195
79,  921,  421, 1162,  422
80, 1195, 1074, 1107, 1030
81, 1195,  670,  107,  669
82, 1195,  648,  647,  670
83, 1195,  107,  647, 1030
84, 1196,  884, 1197,  910
85, 1196, 1198, 1199,  771
86, 1196, 1197,  725,  910
87, 1196,  725, 1199,  906
88,   45, 1188,  861,   43
89, 1175,   16,  250,  249
90,   83, 1175,  956,  960
91,  471,   83, 1175,  956
92, 1049, 1175, 1027,  960
93, 1175,  250,  471,  815
94, 1200, 1201, 1099, 1001
95, 1200, 1202, 1141,  587
96, 1202, 1099,  999, 1200
97, 1200, 1135,  588,  587
98,  600, 1200, 1202,  999
99, 1200,  999,  600,  599
100, 1186, 1192, 1203,  739
101,  791,  387, 1186, 1185
102, 1186,  793, 1203,  901
103, 1182, 1186,  791,  387
104,  387, 1182, 1186,  887
105,  278, 1204, 1205,  174
106, 1206,  695,  905, 1207
107, 1189,   45,  861, 1208
108,  786, 1204,  908,  905
109, 1204,  695,  905,  786
110, 1204, 1207,  176,  279
111, 1204, 1207,  695,  176
112, 1204,  905,  279,  278
113, 1209, 1210,  493, 1173
114, 1211,  741,  377,  196
115,  692,  880,   65, 1212
116, 1213,  692,  880,   65
117,  117,   64,  133, 1212
118, 1212,  768,  880,  885
119, 1212,  885,   64,  694
120, 1212,  692,  880,  768
121, 1212,   65,  118,  117
122,  133, 1212,   64,  694
123, 1212,  694,  133,  132
124, 1214,  546, 1215,  522
125, 1214, 1134, 1093,  989
126, 1093, 1214, 1140, 1134
127, 1214, 1216, 1140,  545
128, 1214, 1216, 1093, 1140
129, 1214, 1134,  546,  545
130,  861, 1189,  550, 1188
131, 1217,   49,  871,  890
132, 1214,  523, 1023,  524
133, 1218, 1193,  850,  728
134, 1185,  850, 1218,  849
135, 1218,  791,  754,  728
136, 1219,  275,  169,  168
137,  169, 1219, 1220,  275
138, 1221, 1015, 1115, 1065
139, 1115, 1108, 1065, 1138
140, 1219, 1222, 1223,  731
141, 1219,  167, 1223,  274
142, 1219,  731, 1223,  167
143, 1219,  900,  275,  274
144, 1157, 1158, 1159,  381
145, 1158,  772, 1159,  381
146,  382,  712,  918,  740
147,   43, 1188,  861,  550
148, 1224,  291,  839,  290
149,  877,  381,  772,  896
150,  740, 1158,  382,  712
151,  712,  896,  772, 1158
152, 1225,  712,  896,  772
